City	ICT_Score
Delhi	49.02518519
Mumbai	48.90824074
Bengaluru	48.45509259
Kolkata	47.4412037
Chennai	47.18861111
Hyderabad	46.24305556
Kochi	45.30166667
Ludhiana	45.04685185
Chandigarh	44.9962963
Surat	44.93185185
Ernakulam	44.73361111
Jorapokhar	44.69157407
Gurugram	44.68564815
Thiruvananthapuram	44.51666667
Brajrajnagar	44.50888889
Kanpur	44.44462963
Nashik	44.42351852
Amaravati	44.40342593
Talcher	44.16907407
Bhopal	43.44490741
Coimbatore	43.3275
Lucknow	43.19583333
Ahmedabad	42.52814815
Jaipur	42.50777778
Patna	41.91657407
Amritsar	41.46111111
Visakhapatnam	41.11731481
Shillong	40.76287037
Aizawl	40.08898148
Guwahati	40.02388889
